ID,项目,测量基准,单位,实测值,状态
M01,主板最大宽度,含突出插座和跳线帽,mm,,待实测
M02,主板最大高度,含突出插座和跳线帽,mm,,待实测
M03,板屏装配最大厚度,含屏幕背板焊点及自然排线弯曲,mm,,待实测
M04,屏幕玻璃宽度,玻璃外轮廓不按像素推算,mm,,待实测
M05,屏幕玻璃高度,玻璃外轮廓,mm,,待实测
M06,有效显示与触摸区位置,相对玻璃左下角的X和Y偏移,mm,,待实测
M07,USB口开口位置,相对主板基准边的中心与高宽,mm,,待实测
M08,开关键和功能键位置,相对主板基准边,mm,,待实测
M09,现有安装孔位置,孔径和各孔中心坐标,mm,,待实测
M10,保护电池成品包外形,包含PCM胶带及引线根部的长宽厚,mm,,供应商确认
M11,电池插头极性,对照板端BAT正负丝印及万用表确认,正负对应,,电气停止点
M12,最终独立核心外形,包含壳体螺丝与常驻连接器的宽高厚,mm,,目前70x78x28仅设计包络
M13,最终核心重量,包含电池且脱离USB线,g,,待实测
M14,充电上限与电流,原理图和芯片配置及实际充电确认,V和mA,,电气停止点
M15,供应商配合试片结果,单边0.3或0.4或0.5及表面处理状态,mm,,待试片
