"编号","名称","数量","规格","说明","采购状态"
"P00","完整独立核心内胆","1套","前后壳及固定架","待M01–M14实测补图，CAD不含内胆","暂停加工"
"P01","底盘","1","尼龙打印；含4个轴座","CAD part=chassis","整套放行后"
"P02","车体与卡座","1","尼龙打印；壁厚2.4","CAD part=body","整套放行后"
"P03","可拆车顶","1","尼龙打印；厚3","CAD part=roof","整套放行后"
"P04","车轮","4","踏面Φ28；内轮缘Φ32；轴孔Φ3.2","CAD part=wheel；孔需实配","整套放行后"
"P05","直轨","4","150×84×7；自定义轨道","CAD part=track","整套放行后"
"P06","站牌","2","60×35底座；总高48","CAD part=station；贴纸字牌","整套放行后"
"P07","端部挡块","2","10×84×12；内侧贴软垫","CAD part=end_stop","整套放行后"
"T01","配合试片与插片","1组","尼龙；单边0.3/0.4/0.5","CAD part=fit_coupon","先问商家模型检查及试片报价"
"T02","假核心量规","1","70×78×28只是当前拟定包络","CAD part=core_proxy；实心块不得装电子件","尺寸方案确认后试装"
"H01","圆光轴","2","Φ3×84；端部去毛刺","请商家切长；普通钢或不锈钢","通用五金可询价"
"H02","轴限位环","4","内径3；外径约8；厚5；带紧定螺钉","实际外径不得与轮或车体干涉","按到货尺寸实配"
"H03","尼龙平垫片","8","内径3.2；厚1；外径约8","每轮内侧2片","通用五金可询价"
"H04","M3机器螺钉","4","M3×14候选；配薄垫片","底盘到车体；装配复核长度","通用五金可询价"
"H05","M3手拧螺钉","2","M3×8候选；手拧头不碰外壳","车顶锁止；装配复核长度","通用五金可询价"
"H06","M3六角螺母","6","常规约5.5对边；实际尺寸先配槽","车体4颗，车顶2颗","通用五金可询价"
"H07","展示底板","1","建议600×200×6木板","另购或加工；CAD未包含","可先按摆放空间调整"
"H08","轨道固定与挡块软垫","1组","薄双面胶与EVA防撞垫","只用于无源轨道及挡块；不包紧电池","按现场选"
"E01","已有黄山派与屏幕","1套","保持原板与排线","不拆焊、不打孔","已有"
"E02","带保护成品锂聚合物电池","1","EEMB LP503450电芯方案；3.7V 950mAh","必须由供应商配PCM和匹配插头；裸电芯页不是成品采购链接","电气及尺寸确认后采购"
"E03","电池成品线束","1","与板端匹配的2芯GH1.25；极性待核","由供应商制作；不按颜色或文字猜针序","电气停止点"
"O01","无源NFC标签","0–2可选","用于手机打开站点或作品链接","不是车端读卡器","V1非必需"
